15:12:44.8331 [INFO] uart5: [output] CANTRIP> [sreplay_app mltest best_fit
15:12:44.8332 [INFO] uart5: [virt: 2.21s (+12.2ms)] CANTRIP> [sreplay_app mltest best_fit
15:12:45.1008 [INFO] uart5: [output] {'bytes in-use': 129280, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2594304, 'bytes requested': 129280, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 35}
15:12:45.1009 [INFO] uart5: [virt:  2.26s (+1.6ms)] {'bytes in-use': 129280, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2594304, 'bytes requested': 129280, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 35}
15:12:45.1131 [INFO] uart5: [output] {'bytes in-use': 133376, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2590208, 'bytes requested': 133376, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 36}
15:12:45.1132 [INFO] uart5: [virt:  2.26s (+1.6ms)] {'bytes in-use': 133376, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2590208, 'bytes requested': 133376, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 36}
15:12:45.1254 [INFO] uart5: [output] {'bytes in-use': 137472, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2586112, 'bytes requested': 137472, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 37}
15:12:45.1254 [INFO] uart5: [virt:  2.26s (+1.8ms)] {'bytes in-use': 137472, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2586112, 'bytes requested': 137472, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 37}
15:12:45.1380 [INFO] uart5: [output] {'bytes in-use': 141568, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2582016, 'bytes requested': 141568, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 38}
15:12:45.1382 [INFO] uart5: [virt:  2.26s (+1.6ms)] {'bytes in-use': 141568, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2582016, 'bytes requested': 141568, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 38}
15:12:45.1487 [INFO] uart5: [output] {'bytes in-use': 145664, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2577920, 'bytes requested': 145664, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 39}
15:12:45.1488 [INFO] uart5: [virt:  2.26s (+1.5ms)] {'bytes in-use': 145664, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2577920, 'bytes requested': 145664, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 39}
15:12:45.1606 [INFO] uart5: [output] {'bytes in-use': 149760, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2573824, 'bytes requested': 149760, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 40}
15:12:45.1607 [INFO] uart5: [virt:  2.27s (+1.6ms)] {'bytes in-use': 149760, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2573824, 'bytes requested': 149760, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 40}
15:12:45.1724 [INFO] uart5: [output] {'bytes in-use': 153856, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2569728, 'bytes requested': 153856, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 41}
15:12:45.1725 [INFO] uart5: [virt:  2.27s (+1.6ms)] {'bytes in-use': 153856, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2569728, 'bytes requested': 153856, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 41}
15:12:45.1839 [INFO] uart5: [output] {'bytes in-use': 157952, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2565632, 'bytes requested': 157952, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 42}
15:12:45.1840 [INFO] uart5: [virt:  2.27s (+1.6ms)] {'bytes in-use': 157952, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2565632, 'bytes requested': 157952, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 42}
15:12:45.1948 [INFO] uart5: [output] {'bytes in-use': 162048, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2561536, 'bytes requested': 162048, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 43}
