15:14:26.0999 [INFO] uart5: [output] CANTRIP> [sreplay_seq_app  0 0 1 1 2 2 3 3 4 4 5 5 6 6 7 7 next_fit
15:14:26.1001 [INFO] uart5: [virt: 7.58s (+15.4ms)] CANTRIP> [sreplay_seq_app  0 0 1 1 2 2 3 3 4 4 5 5 6 6 7 7 next_fit
15:14:26.3068 [INFO] uart5: [output] {'bytes in-use': 20480, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2703104, 'bytes requested': 66880, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 5}
15:14:26.3069 [INFO] uart5: [virt:  7.61s (+1.6ms)] {'bytes in-use': 20480, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2703104, 'bytes requested': 66880, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 5}
15:14:26.3171 [INFO] uart5: [output] {'bytes in-use': 24576, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2699008, 'bytes requested': 70976, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 6}
15:14:26.3172 [INFO] uart5: [virt:  7.61s (+1.5ms)] {'bytes in-use': 24576, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2699008, 'bytes requested': 70976, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 6}
15:14:26.3286 [INFO] uart5: [output] {'bytes in-use': 28672, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2694912, 'bytes requested': 75072, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 7}
15:14:26.3287 [INFO] uart5: [virt:  7.61s (+1.5ms)] {'bytes in-use': 28672, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2694912, 'bytes requested': 75072, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 7}
15:14:26.3400 [INFO] uart5: [output] {'bytes in-use': 28928, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2694656, 'bytes requested': 75328, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 8}
15:14:26.3401 [INFO] uart5: [virt:  7.61s (+1.5ms)] {'bytes in-use': 28928, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2694656, 'bytes requested': 75328, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 8}
15:14:26.3481 [INFO] uart5: [output] {'bytes in-use': 29440, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2694144, 'bytes requested': 75840, 'lhs fragmentation': 0, 'in-between fragmentation': 256, 'objs in-use': 9}
15:14:26.3482 [INFO] uart5: [virt:  7.61s (+1.6ms)] {'bytes in-use': 29440, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2694144, 'bytes requested': 75840, 'lhs fragmentation': 0, 'in-between fragmentation': 256, 'objs in-use': 9}
15:14:26.3589 [INFO] uart5: [output] {'bytes in-use': 29696, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2693888, 'bytes requested': 76096, 'lhs fragmentation': 0, 'in-between fragmentation': 256, 'objs in-use': 10}
15:14:26.3590 [INFO] uart5: [virt:  7.62s (+1.5ms)] {'bytes in-use': 29696, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2693888, 'bytes requested': 76096, 'lhs fragmentation': 0, 'in-between fragmentation': 256, 'objs in-use': 10}
15:14:26.3709 [INFO] uart5: [output] {'bytes in-use': 33792, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2689792, 'bytes requested': 80192, 'lhs fragmentation': 0, 'in-between fragmentation': 3072, 'objs in-use': 11}
