01:28:09.9766 [INFO] uart5: [output] CANTRIP> [sreplay_seq_app  0 1 2 1 2 3 0 3 best_fit
01:28:09.9767 [INFO] uart5: [virt: 3.79s (+13.3ms)] CANTRIP> [sreplay_seq_app  0 1 2 1 2 3 0 3 best_fit
01:28:10.1608 [INFO] uart5: [output] {'bytes in-use': 80192, 'bytes free': 2643392, 'bytes requested': 80192, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 26}
01:28:10.1609 [INFO] uart5: [virt: 3.83s (+11.3ms)] {'bytes in-use': 80192, 'bytes free': 2643392, 'bytes requested': 80192, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 26}
01:28:10.1697 [INFO] uart5: [output] {'bytes in-use': 84288, 'bytes free': 2639296, 'bytes requested': 84288, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 27}
01:28:10.1698 [INFO] uart5: [virt:  3.83s (+1.3ms)] {'bytes in-use': 84288, 'bytes free': 2639296, 'bytes requested': 84288, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 27}
01:28:10.1787 [INFO] uart5: [output] {'bytes in-use': 100672, 'bytes free': 2622912, 'bytes requested': 100672, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 31}
01:28:10.1788 [INFO] uart5: [virt:  3.83s (+1.2ms)] {'bytes in-use': 100672, 'bytes free': 2622912, 'bytes requested': 100672, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 31}
01:28:10.1895 [INFO] uart5: [output] {'bytes in-use': 141632, 'bytes free': 2581952, 'bytes requested': 141632, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 41}
01:28:10.1896 [INFO] uart5: [virt:  3.83s (+1.9ms)] {'bytes in-use': 141632, 'bytes free': 2581952, 'bytes requested': 141632, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 41}
01:28:10.1979 [INFO] uart5: [output] {'bytes in-use': 145728, 'bytes free': 2577856, 'bytes requested': 145728, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 42}
01:28:10.1980 [INFO] uart5: [virt:  3.83s (+1.3ms)] {'bytes in-use': 145728, 'bytes free': 2577856, 'bytes requested': 145728, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 42}
01:28:10.2070 [INFO] uart5: [output] {'bytes in-use': 149824, 'bytes free': 2573760, 'bytes requested': 149824, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 43}
01:28:10.2071 [INFO] uart5: [virt:  3.83s (+1.3ms)] {'bytes in-use': 149824, 'bytes free': 2573760, 'bytes requested': 149824, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 43}
01:28:10.2156 [INFO] uart5: [output] {'bytes in-use': 150848, 'bytes free': 2572736, 'bytes requested': 150848, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 44}
01:28:10.2158 [INFO] uart5: [virt:  3.83s (+1.2ms)] {'bytes in-use': 150848, 'bytes free': 2572736, 'bytes requested': 150848, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 44}
01:28:10.2241 [INFO] uart5: [output] {'bytes in-use': 154944, 'bytes free': 2568640, 'bytes requested': 154944, 'lhs fragmentation': 0, 'in-between fragmentation': 3520, 'objs in-use': 45}
01:28:10.2242 [INFO] uart5: [virt:  3.83s (+1.3ms)] {'bytes in-use': 154944, 'bytes free': 2568640, 'bytes requested': 154944, 'lhs fragmentation': 0, 'in-between fragmentation': 3520, 'objs in-use': 45}
01:28:10.2303 [INFO] uart5: [output] {'bytes in-use': 159040, 'bytes free': 2564544, 'bytes requested': 159040, 'lhs fragmentation': 0, 'in-between fragmentation': 3520, 'objs in-use': 46}
01:28:10.2305 [INFO] uart5: [virt:  3.84s (+1.3ms)] {'bytes in-use': 159040, 'bytes free': 2564544, 'bytes requested': 159040, 'lhs fragmentation': 0, 'in-between fragmentation': 3520, 'objs in-use': 46}
01:28:10.2460 [INFO] uart5: [output] {'bytes in-use': 163136, 'bytes free': 2560448, 'bytes requested': 163136, 'lhs fragmentation': 0, 'in-between fragmentation': 3520, 'objs in-use': 47}
01:28:10.2461 [INFO] uart5: [virt:  3.84s (+1.2ms)] {'bytes in-use': 163136, 'bytes free': 2560448, 'bytes requested': 163136, 'lhs fragmentation': 0, 'in-between fragmentation': 3520, 'objs in-use': 47}
01:28:10.2561 [INFO] uart5: [output] {'bytes in-use': 167232, 'bytes free': 2556352, 'bytes requested': 167232, 'lhs fragmentation': 0, 'in-between fragmentation': 3520, 'objs in-use': 48}
01:28:10.2563 [INFO] uart5: [virt:  3.84s (+1.8ms)] {'bytes in-use': 167232, 'bytes free': 2556352, 'bytes requested': 167232, 'lhs fragmentation': 0, 'in-between fragmentation': 3520, 'objs in-use': 48}
01:28:10.2664 [INFO] uart5: [output] {'bytes in-use': 171328, 'bytes free': 2552256, 'bytes requested': 171328, 'lhs fragmentation': 0, 'in-between fragmentation': 3520, 'objs in-use': 49}
01:28:10.2665 [INFO] uart5: [virt:  3.84s (+1.3ms)] {'bytes in-use': 171328, 'bytes free': 2552256, 'bytes requested': 171328, 'lhs fragmentation': 0, 'in-between fragmentation': 3520, 'objs in-use': 49}
01:28:10.2765 [INFO] uart5: [output] {'bytes in-use': 175424, 'bytes free': 2548160, 'bytes requested': 175424, 'lhs fragmentation': 0, 'in-between fragmentation': 3520, 'objs in-use': 50}
01:28:10.2767 [INFO] uart5: [virt:  3.84s (+1.3ms)] {'bytes in-use': 175424, 'bytes free': 2548160, 'bytes requested': 175424, 'lhs fragmentation': 0, 'in-between fragmentation': 3520, 'objs in-use': 50}
01:28:10.2878 [INFO] uart5: [output] {'bytes in-use': 179520, 'bytes free': 2544064, 'bytes requested': 179520, 'lhs fragmentation': 0, 'in-between fragmentation': 3520, 'objs in-use': 51}
01:28:10.2879 [INFO] uart5: [virt:  3.84s (+1.2ms)] {'bytes in-use': 179520, 'bytes free': 2544064, 'bytes requested': 179520, 'lhs fragmentation': 0, 'in-between fragmentation': 3520, 'objs in-use': 51}
01:28:10.2986 [INFO] uart5: [output] {'bytes in-use': 183616, 'bytes free': 2539968, 'bytes requested': 183616, 'lhs fragmentation': 0, 'in-between fragmentation': 3520, 'objs in-use': 52}
01:28:10.2987 [INFO] uart5: [virt:  3.84s (+1.3ms)] {'bytes in-use': 183616, 'bytes free': 2539968, 'bytes requested': 183616, 'lhs fragmentation': 0, 'in-between fragmentation': 3520, 'objs in-use': 52}
01:28:10.3095 [INFO] uart5: [output] {'bytes in-use': 184128, 'bytes free': 2539456, 'bytes requested': 184128, 'lhs fragmentation': 0, 'in-between fragmentation': 3776, 'objs in-use': 53}
01:28:10.3096 [INFO] uart5: [virt:  3.85s (+1.2ms)] {'bytes in-use': 184128, 'bytes free': 2539456, 'bytes requested': 184128, 'lhs fragmentation': 0, 'in-between fragmentation': 3776, 'objs in-use': 53}
