15:13:20.4975 [INFO] uart5: [output] CANTRIP> [sreplay_seq_app  0 1 2 3 4 5 6 7 7 6 5 4 3 2 1 0 best_fit
15:13:20.4976 [INFO] uart5: [virt: 4.16s (+11.6ms)] CANTRIP> [sreplay_seq_app  0 1 2 3 4 5 6 7 7 6 5 4 3 2 1 0 best_fit
15:13:20.7595 [INFO] uart5: [output] {'bytes in-use': 84288, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2639296, 'bytes requested': 84288, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 27}
15:13:20.7596 [INFO] uart5: [virt:   4.2s (+1.6ms)] {'bytes in-use': 84288, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2639296, 'bytes requested': 84288, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 27}
15:13:20.7788 [INFO] uart5: [output] {'bytes in-use': 100672, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2622912, 'bytes requested': 100672, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 31}
15:13:20.7789 [INFO] uart5: [virt:   4.2s (+1.6ms)] {'bytes in-use': 100672, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2622912, 'bytes requested': 100672, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 31}
15:13:20.7929 [INFO] uart5: [output] {'bytes in-use': 141632, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2581952, 'bytes requested': 141632, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 41}
15:13:20.7930 [INFO] uart5: [virt:    4.21s (+2ms)] {'bytes in-use': 141632, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2581952, 'bytes requested': 141632, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 41}
15:13:20.8071 [INFO] uart5: [output] {'bytes in-use': 145728, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2577856, 'bytes requested': 145728, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 42}
15:13:20.8073 [INFO] uart5: [virt:  4.21s (+1.5ms)] {'bytes in-use': 145728, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2577856, 'bytes requested': 145728, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 42}
15:13:20.8163 [INFO] uart5: [output] {'bytes in-use': 149824, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2573760, 'bytes requested': 149824, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 43}
15:13:20.8164 [INFO] uart5: [virt:  4.21s (+1.6ms)] {'bytes in-use': 149824, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2573760, 'bytes requested': 149824, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 43}
15:13:20.8284 [INFO] uart5: [output] {'bytes in-use': 150848, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2572736, 'bytes requested': 150848, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 44}
15:13:20.8286 [INFO] uart5: [virt:  4.21s (+1.6ms)] {'bytes in-use': 150848, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2572736, 'bytes requested': 150848, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 44}
15:13:20.8408 [INFO] uart5: [output] {'bytes in-use': 154944, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2568640, 'bytes requested': 154944, 'lhs fragmentation': 0, 'in-between fragmentation': 3520, 'objs in-use': 45}
15:13:20.8409 [INFO] uart5: [virt:  4.21s (+1.6ms)] {'bytes in-use': 154944, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2568640, 'bytes requested': 154944, 'lhs fragmentation': 0, 'in-between fragmentation': 3520, 'objs in-use': 45}
15:13:20.8522 [INFO] uart5: [output] {'bytes in-use': 159040, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2564544, 'bytes requested': 159040, 'lhs fragmentation': 0, 'in-between fragmentation': 3520, 'objs in-use': 46}
15:13:20.8523 [INFO] uart5: [virt:  4.21s (+1.6ms)] {'bytes in-use': 159040, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2564544, 'bytes requested': 159040, 'lhs fragmentation': 0, 'in-between fragmentation': 3520, 'objs in-use': 46}
15:13:20.8680 [INFO] uart5: [output] {'bytes in-use': 163136, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2560448, 'bytes requested': 163136, 'lhs fragmentation': 0, 'in-between fragmentation': 3520, 'objs in-use': 47}
15:13:20.8681 [INFO] uart5: [virt:  4.21s (+1.5ms)] {'bytes in-use': 163136, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2560448, 'bytes requested': 163136, 'lhs fragmentation': 0, 'in-between fragmentation': 3520, 'objs in-use': 47}
15:13:20.8838 [INFO] uart5: [output] {'bytes in-use': 167232, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2556352, 'bytes requested': 167232, 'lhs fragmentation': 0, 'in-between fragmentation': 3520, 'objs in-use': 48}
15:13:20.8840 [INFO] uart5: [virt:  4.22s (+2.1ms)] {'bytes in-use': 167232, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2556352, 'bytes requested': 167232, 'lhs fragmentation': 0, 'in-between fragmentation': 3520, 'objs in-use': 48}
15:13:20.9005 [INFO] uart5: [output] {'bytes in-use': 171328, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2552256, 'bytes requested': 171328, 'lhs fragmentation': 0, 'in-between fragmentation': 3520, 'objs in-use': 49}
15:13:20.9007 [INFO] uart5: [virt:  4.22s (+1.7ms)] {'bytes in-use': 171328, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2552256, 'bytes requested': 171328, 'lhs fragmentation': 0, 'in-between fragmentation': 3520, 'objs in-use': 49}
15:13:20.9169 [INFO] uart5: [output] {'bytes in-use': 175424, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2548160, 'bytes requested': 175424, 'lhs fragmentation': 0, 'in-between fragmentation': 3520, 'objs in-use': 50}
15:13:20.9170 [INFO] uart5: [virt:  4.22s (+1.5ms)] {'bytes in-use': 175424, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2548160, 'bytes requested': 175424, 'lhs fragmentation': 0, 'in-between fragmentation': 3520, 'objs in-use': 50}
15:13:20.9288 [INFO] uart5: [output] {'bytes in-use': 179520, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2544064, 'bytes requested': 179520, 'lhs fragmentation': 0, 'in-between fragmentation': 3520, 'objs in-use': 51}
15:13:20.9289 [INFO] uart5: [virt:  4.22s (+1.6ms)] {'bytes in-use': 179520, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2544064, 'bytes requested': 179520, 'lhs fragmentation': 0, 'in-between fragmentation': 3520, 'objs in-use': 51}
15:13:20.9401 [INFO] uart5: [output] {'bytes in-use': 183616, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2539968, 'bytes requested': 183616, 'lhs fragmentation': 0, 'in-between fragmentation': 3520, 'objs in-use': 52}
15:13:20.9403 [INFO] uart5: [virt:  4.22s (+1.6ms)] {'bytes in-use': 183616, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2539968, 'bytes requested': 183616, 'lhs fragmentation': 0, 'in-between fragmentation': 3520, 'objs in-use': 52}
15:13:20.9523 [INFO] uart5: [output] {'bytes in-use': 184128, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2539456, 'bytes requested': 184128, 'lhs fragmentation': 0, 'in-between fragmentation': 3776, 'objs in-use': 53}
15:13:20.9524 [INFO] uart5: [virt:  4.22s (+1.5ms)] {'bytes in-use': 184128, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2539456, 'bytes requested': 184128, 'lhs fragmentation': 0, 'in-between fragmentation': 3776, 'objs in-use': 53}
15:13:20.9679 [INFO] uart5: [output] {'bytes in-use': 184640, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2538944, 'bytes requested': 184640, 'lhs fragmentation': 0, 'in-between fragmentation': 3776, 'objs in-use': 54}
15:13:20.9680 [INFO] uart5: [virt:  4.23s (+1.6ms)] {'bytes in-use': 184640, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2538944, 'bytes requested': 184640, 'lhs fragmentation': 0, 'in-between fragmentation': 3776, 'objs in-use': 54}
15:13:20.9805 [INFO] uart5: [output] {'bytes in-use': 184896, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2538688, 'bytes requested': 184896, 'lhs fragmentation': 0, 'in-between fragmentation': 3776, 'objs in-use': 55}
15:13:20.9806 [INFO] uart5: [virt:  4.23s (+1.6ms)] {'bytes in-use': 184896, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2538688, 'bytes requested': 184896, 'lhs fragmentation': 0, 'in-between fragmentation': 3776, 'objs in-use': 55}
15:13:21.0078 [INFO] uart5: [output] {'bytes in-use': 188992, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2534592, 'bytes requested': 188992, 'lhs fragmentation': 0, 'in-between fragmentation': 7104, 'objs in-use': 56}
15:13:21.0079 [INFO] uart5: [virt: 4.24s (+11.5ms)] {'bytes in-use': 188992, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2534592, 'bytes requested': 188992, 'lhs fragmentation': 0, 'in-between fragmentation': 7104, 'objs in-use': 56}
15:13:21.0190 [INFO] uart5: [output] {'bytes in-use': 193088, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2530496, 'bytes requested': 193088, 'lhs fragmentation': 0, 'in-between fragmentation': 7104, 'objs in-use': 57}
15:13:21.0191 [INFO] uart5: [virt:  4.24s (+1.5ms)] {'bytes in-use': 193088, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2530496, 'bytes requested': 193088, 'lhs fragmentation': 0, 'in-between fragmentation': 7104, 'objs in-use': 57}
15:13:21.0318 [INFO] uart5: [output] {'bytes in-use': 209472, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2514112, 'bytes requested': 209472, 'lhs fragmentation': 0, 'in-between fragmentation': 7104, 'objs in-use': 61}
15:13:21.0318 [INFO] uart5: [virt:  4.24s (+1.7ms)] {'bytes in-use': 209472, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2514112, 'bytes requested': 209472, 'lhs fragmentation': 0, 'in-between fragmentation': 7104, 'objs in-use': 61}
15:13:21.0449 [INFO] uart5: [output] {'bytes in-use': 254528, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2469056, 'bytes requested': 254528, 'lhs fragmentation': 0, 'in-between fragmentation': 7104, 'objs in-use': 72}
15:13:21.0450 [INFO] uart5: [virt:  4.24s (+2.2ms)] {'bytes in-use': 254528, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2469056, 'bytes requested': 254528, 'lhs fragmentation': 0, 'in-between fragmentation': 7104, 'objs in-use': 72}
15:13:21.0594 [INFO] uart5: [output] {'bytes in-use': 258624, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2464960, 'bytes requested': 258624, 'lhs fragmentation': 0, 'in-between fragmentation': 7104, 'objs in-use': 73}
15:13:21.0595 [INFO] uart5: [virt:  4.25s (+1.5ms)] {'bytes in-use': 258624, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2464960, 'bytes requested': 258624, 'lhs fragmentation': 0, 'in-between fragmentation': 7104, 'objs in-use': 73}
15:13:21.0728 [INFO] uart5: [output] {'bytes in-use': 262720, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2460864, 'bytes requested': 262720, 'lhs fragmentation': 0, 'in-between fragmentation': 7104, 'objs in-use': 74}
15:13:21.0729 [INFO] uart5: [virt:  4.25s (+1.6ms)] {'bytes in-use': 262720, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2460864, 'bytes requested': 262720, 'lhs fragmentation': 0, 'in-between fragmentation': 7104, 'objs in-use': 74}
15:13:21.0853 [INFO] uart5: [output] {'bytes in-use': 263744, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2459840, 'bytes requested': 263744, 'lhs fragmentation': 0, 'in-between fragmentation': 7104, 'objs in-use': 75}
15:13:21.0854 [INFO] uart5: [virt:  4.25s (+1.6ms)] {'bytes in-use': 263744, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2459840, 'bytes requested': 263744, 'lhs fragmentation': 0, 'in-between fragmentation': 7104, 'objs in-use': 75}
15:13:21.0989 [INFO] uart5: [output] {'bytes in-use': 267840, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2455744, 'bytes requested': 267840, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 76}
15:13:21.0990 [INFO] uart5: [virt:  4.25s (+1.6ms)] {'bytes in-use': 267840, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2455744, 'bytes requested': 267840, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 76}
15:13:21.1119 [INFO] uart5: [output] {'bytes in-use': 271936, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2451648, 'bytes requested': 271936, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 77}
15:13:21.1119 [INFO] uart5: [virt:  4.25s (+1.5ms)] {'bytes in-use': 271936, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2451648, 'bytes requested': 271936, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 77}
15:13:21.1246 [INFO] uart5: [output] {'bytes in-use': 276032, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2447552, 'bytes requested': 276032, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 78}
15:13:21.1246 [INFO] uart5: [virt:  4.25s (+1.6ms)] {'bytes in-use': 276032, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2447552, 'bytes requested': 276032, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 78}
15:13:21.1381 [INFO] uart5: [output] {'bytes in-use': 280128, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2443456, 'bytes requested': 280128, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 79}
