01:27:58.4945 [INFO] uart5: [output] CANTRIP> [sreplay_seq_app  0 0 1 1 2 2 3 3 best_fit
01:27:58.4946 [INFO] uart5: [virt:   2.69s (+13ms)] CANTRIP> [sreplay_seq_app  0 0 1 1 2 2 3 3 best_fit
01:27:58.8920 [INFO] uart5: [virt:  2.77s (+1.3ms)] {'bytes in-use': 58624, 'bytes free': 2664960, 'bytes requested': 209472, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 17}
01:27:58.9036 [INFO] uart5: [output] {'bytes in-use': 103680, 'bytes free': 2619904, 'bytes requested': 254528, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 28}
01:27:58.9037 [INFO] uart5: [virt:  2.77s (+1.6ms)] {'bytes in-use': 103680, 'bytes free': 2619904, 'bytes requested': 254528, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 28}
01:27:58.9195 [INFO] uart5: [output] {'bytes in-use': 107776, 'bytes free': 2615808, 'bytes requested': 258624, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 29}
01:27:58.9197 [INFO] uart5: [virt:  2.77s (+1.3ms)] {'bytes in-use': 107776, 'bytes free': 2615808, 'bytes requested': 258624, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 29}
01:27:58.9325 [INFO] uart5: [output] {'bytes in-use': 111872, 'bytes free': 2611712, 'bytes requested': 262720, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 30}
01:27:58.9327 [INFO] uart5: [virt:  2.77s (+1.2ms)] {'bytes in-use': 111872, 'bytes free': 2611712, 'bytes requested': 262720, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 30}
01:27:58.9488 [INFO] uart5: [output] {'bytes in-use': 112896, 'bytes free': 2610688, 'bytes requested': 263744, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 31}
01:27:58.9490 [INFO] uart5: [virt:  2.78s (+1.3ms)] {'bytes in-use': 112896, 'bytes free': 2610688, 'bytes requested': 263744, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 31}
01:27:58.9602 [INFO] uart5: [output] {'bytes in-use': 116992, 'bytes free': 2606592, 'bytes requested': 267840, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 32}
01:27:58.9603 [INFO] uart5: [virt:  2.78s (+1.3ms)] {'bytes in-use': 116992, 'bytes free': 2606592, 'bytes requested': 267840, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 32}
01:27:58.9671 [INFO] uart5: [output] {'bytes in-use': 121088, 'bytes free': 2602496, 'bytes requested': 271936, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 33}
01:27:58.9672 [INFO] uart5: [virt:  2.78s (+1.3ms)] {'bytes in-use': 121088, 'bytes free': 2602496, 'bytes requested': 271936, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 33}
01:27:58.9827 [INFO] uart5: [output] {'bytes in-use': 125184, 'bytes free': 2598400, 'bytes requested': 276032, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 34}
01:27:58.9829 [INFO] uart5: [virt:  2.78s (+1.2ms)] {'bytes in-use': 125184, 'bytes free': 2598400, 'bytes requested': 276032, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 34}
01:27:58.9955 [INFO] uart5: [output] {'bytes in-use': 129280, 'bytes free': 2594304, 'bytes requested': 280128, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 35}
01:27:58.9956 [INFO] uart5: [virt:  2.78s (+1.3ms)] {'bytes in-use': 129280, 'bytes free': 2594304, 'bytes requested': 280128, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 35}
01:27:59.0216 [INFO] uart5: [output] {'bytes in-use': 133376, 'bytes free': 2590208, 'bytes requested': 284224, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 36}
01:27:59.0217 [INFO] uart5: [virt: 2.79s (+11.2ms)] {'bytes in-use': 133376, 'bytes free': 2590208, 'bytes requested': 284224, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 36}
