00:05:51.5569 [INFO] uart5: [output] CANTRIP> [ssynthetic_random_alloc 42 1000 64 false best_fit
00:05:51.5570 [INFO] uart5: [virt: 7.71s (+14.8ms)] CANTRIP> [ssynthetic_random_alloc 42 1000 64 false best_fit
00:05:51.5578 [INFO] uart5: [output] Begin synthetic workload!
00:05:51.8200 [INFO] uart5: [output] {'bytes in-use': 24576, 'bytes free': 2699008, 'bytes requested': 67152, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 6}
00:05:51.8202 [INFO] uart5: [virt:  7.75s (+1.6ms)] {'bytes in-use': 24576, 'bytes free': 2699008, 'bytes requested': 67152, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 6}
00:05:51.8366 [INFO] uart5: [output] {'bytes in-use': 25600, 'bytes free': 2697984, 'bytes requested': 68176, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 7}
00:05:51.8367 [INFO] uart5: [virt:  7.76s (+1.3ms)] {'bytes in-use': 25600, 'bytes free': 2697984, 'bytes requested': 68176, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 7}
00:05:51.8486 [INFO] uart5: [output] {'bytes in-use': 25616, 'bytes free': 2697968, 'bytes requested': 68192, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 8}
00:05:51.8487 [INFO] uart5: [virt:  7.76s (+1.3ms)] {'bytes in-use': 25616, 'bytes free': 2697968, 'bytes requested': 68192, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 8}
00:05:51.8570 [INFO] uart5: [output] {'bytes in-use': 1040, 'bytes free': 2722544, 'bytes requested': 68192, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
00:05:51.8571 [INFO] uart5: [virt:  7.76s (+1.3ms)] {'bytes in-use': 1040, 'bytes free': 2722544, 'bytes requested': 68192, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
00:05:51.8681 [INFO] uart5: [output] {'bytes in-use': 2064, 'bytes free': 2721520, 'bytes requested': 69216, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 3}
00:05:51.8682 [INFO] uart5: [virt:  7.76s (+1.3ms)] {'bytes in-use': 2064, 'bytes free': 2721520, 'bytes requested': 69216, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 3}
00:05:51.8801 [INFO] uart5: [output] {'bytes in-use': 2048, 'bytes free': 2721536, 'bytes requested': 69216, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
00:05:51.8802 [INFO] uart5: [virt:  7.76s (+1.2ms)] {'bytes in-use': 2048, 'bytes free': 2721536, 'bytes requested': 69216, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
00:05:51.8918 [INFO] uart5: [output] {'bytes in-use': 1024, 'bytes free': 2722560, 'bytes requested': 69216, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
00:05:51.8918 [INFO] uart5: [virt:  7.76s (+1.2ms)] {'bytes in-use': 1024, 'bytes free': 2722560, 'bytes requested': 69216, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
00:05:51.9007 [INFO] uart5: [output] {'bytes in-use': 0, 'bytes free': 2723584, 'bytes requested': 69216, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
00:05:51.9008 [INFO] uart5: [virt:  7.76s (+1.2ms)] {'bytes in-use': 0, 'bytes free': 2723584, 'bytes requested': 69216, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
00:05:51.9112 [INFO] uart5: [output] {'bytes in-use': 128, 'bytes free': 2723456, 'bytes requested': 69344, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
00:05:51.9113 [INFO] uart5: [virt:  7.76s (+1.2ms)] {'bytes in-use': 128, 'bytes free': 2723456, 'bytes requested': 69344, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
00:05:51.9285 [INFO] uart5: [output] {'bytes in-use': 0, 'bytes free': 2723584, 'bytes requested': 69344, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
00:05:51.9287 [INFO] uart5: [virt:  7.77s (+1.3ms)] {'bytes in-use': 0, 'bytes free': 2723584, 'bytes requested': 69344, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
00:05:51.9462 [INFO] uart5: [output] {'bytes in-use': 16, 'bytes free': 2723568, 'bytes requested': 69360, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
00:05:51.9463 [INFO] uart5: [virt:  7.77s (+1.2ms)] {'bytes in-use': 16, 'bytes free': 2723568, 'bytes requested': 69360, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
00:05:51.9605 [INFO] uart5: [output] {'bytes in-use': 0, 'bytes free': 2723584, 'bytes requested': 69360, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
00:05:51.9607 [INFO] uart5: [virt:  7.77s (+1.2ms)] {'bytes in-use': 0, 'bytes free': 2723584, 'bytes requested': 69360, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
00:05:51.9781 [INFO] uart5: [output] {'bytes in-use': 16, 'bytes free': 2723568, 'bytes requested': 69376, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
00:05:51.9782 [INFO] uart5: [virt:  7.77s (+1.3ms)] {'bytes in-use': 16, 'bytes free': 2723568, 'bytes requested': 69376, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
00:05:51.9926 [INFO] uart5: [output] {'bytes in-use': 0, 'bytes free': 2723584, 'bytes requested': 69376, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
00:05:51.9927 [INFO] uart5: [virt:  7.77s (+1.2ms)] {'bytes in-use': 0, 'bytes free': 2723584, 'bytes requested': 69376, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
00:05:52.0069 [INFO] uart5: [output] {'bytes in-use': 16, 'bytes free': 2723568, 'bytes requested': 69392, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
00:05:52.0070 [INFO] uart5: [virt:  7.77s (+1.3ms)] {'bytes in-use': 16, 'bytes free': 2723568, 'bytes requested': 69392, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
00:05:52.0196 [INFO] uart5: [output] {'bytes in-use': 0, 'bytes free': 2723584, 'bytes requested': 69392, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
00:05:52.0197 [INFO] uart5: [virt:  7.77s (+1.2ms)] {'bytes in-use': 0, 'bytes free': 2723584, 'bytes requested': 69392, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
00:05:52.0296 [INFO] uart5: [output] {'bytes in-use': 1024, 'bytes free': 2722560, 'bytes requested': 70416, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
