13:20:18.2043 [INFO] uart5: [output] CANTRIP> [ssynthetic_random_alloc 42 1000 32 profile best_fit
13:20:18.2044 [INFO] uart5: [virt: 6.48s (+17.1ms)] CANTRIP> [ssynthetic_random_alloc 42 1000 32 profile best_fit
13:20:18.2051 [INFO] uart5: [output] Begin synthetic workload!
13:20:18.2052 [INFO] uart5: [virt:  6.48s (+0.1ms)] Begin synthetic workload!
13:20:18.5551 [INFO] uart5: [virt:  6.53s (+1.6ms)] {'bytes in-use': 16848, 'slab resets': 4,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2706736, 'bytes requested': 107600, 'lhs fragmentation': 640, 'in-between fragmentation': 1472, 'objs in-use': 17}
13:20:18.5714 [INFO] uart5: [output] {'bytes in-use': 41424, 'slab resets': 4,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2682160, 'bytes requested': 132176, 'lhs fragmentation': 640, 'in-between fragmentation': 1472, 'objs in-use': 23}
13:20:18.5716 [INFO] uart5: [virt:  6.53s (+1.8ms)] {'bytes in-use': 41424, 'slab resets': 4,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2682160, 'bytes requested': 132176, 'lhs fragmentation': 640, 'in-between fragmentation': 1472, 'objs in-use': 23}
13:20:18.5858 [INFO] uart5: [output] {'bytes in-use': 41456, 'slab resets': 4,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2682128, 'bytes requested': 132208, 'lhs fragmentation': 640, 'in-between fragmentation': 1488, 'objs in-use': 24}
13:20:18.5859 [INFO] uart5: [virt:  6.53s (+1.6ms)] {'bytes in-use': 41456, 'slab resets': 4,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2682128, 'bytes requested': 132208, 'lhs fragmentation': 640, 'in-between fragmentation': 1488, 'objs in-use': 24}
13:20:18.5974 [INFO] uart5: [output] {'bytes in-use': 33264, 'slab resets': 5,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2690320, 'bytes requested': 132208, 'lhs fragmentation': 640, 'in-between fragmentation': 1488, 'objs in-use': 23}
13:20:18.5975 [INFO] uart5: [virt:  6.53s (+2.8ms)] {'bytes in-use': 33264, 'slab resets': 5,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2690320, 'bytes requested': 132208, 'lhs fragmentation': 640, 'in-between fragmentation': 1488, 'objs in-use': 23}
13:20:18.6094 [INFO] uart5: [output] {'bytes in-use': 49648, 'slab resets': 5,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2673936, 'bytes requested': 148592, 'lhs fragmentation': 640, 'in-between fragmentation': 1488, 'objs in-use': 24}
13:20:18.6095 [INFO] uart5: [virt:  6.53s (+1.7ms)] {'bytes in-use': 49648, 'slab resets': 5,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2673936, 'bytes requested': 148592, 'lhs fragmentation': 640, 'in-between fragmentation': 1488, 'objs in-use': 24}
13:20:18.6225 [INFO] uart5: [output] {'bytes in-use': 49616, 'slab resets': 5,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2673968, 'bytes requested': 148592, 'lhs fragmentation': 672, 'in-between fragmentation': 1488, 'objs in-use': 23}
13:20:18.6227 [INFO] uart5: [virt:  6.53s (+1.5ms)] {'bytes in-use': 49616, 'slab resets': 5,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2673968, 'bytes requested': 148592, 'lhs fragmentation': 672, 'in-between fragmentation': 1488, 'objs in-use': 23}
13:20:18.6415 [INFO] uart5: [output] {'bytes in-use': 33232, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2690352, 'bytes requested': 148592, 'lhs fragmentation': 672, 'in-between fragmentation': 1488, 'objs in-use': 22}
13:20:18.6417 [INFO] uart5: [virt:  6.54s (+4.1ms)] {'bytes in-use': 33232, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2690352, 'bytes requested': 148592, 'lhs fragmentation': 672, 'in-between fragmentation': 1488, 'objs in-use': 22}
13:20:18.6572 [INFO] uart5: [output] {'bytes in-use': 33264, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2690320, 'bytes requested': 148624, 'lhs fragmentation': 672, 'in-between fragmentation': 1488, 'objs in-use': 23}
13:20:18.6573 [INFO] uart5: [virt:  6.54s (+1.6ms)] {'bytes in-use': 33264, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2690320, 'bytes requested': 148624, 'lhs fragmentation': 672, 'in-between fragmentation': 1488, 'objs in-use': 23}
13:20:18.6726 [INFO] uart5: [output] {'bytes in-use': 33280, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2690304, 'bytes requested': 148640, 'lhs fragmentation': 672, 'in-between fragmentation': 1488, 'objs in-use': 24}
13:20:18.6728 [INFO] uart5: [virt:  6.54s (+1.5ms)] {'bytes in-use': 33280, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2690304, 'bytes requested': 148640, 'lhs fragmentation': 672, 'in-between fragmentation': 1488, 'objs in-use': 24}
13:20:18.6882 [INFO] uart5: [output] {'bytes in-use': 33296, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2690288, 'bytes requested': 148656, 'lhs fragmentation': 672, 'in-between fragmentation': 1488, 'objs in-use': 25}
13:20:18.6884 [INFO] uart5: [virt:  6.54s (+1.6ms)] {'bytes in-use': 33296, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2690288, 'bytes requested': 148656, 'lhs fragmentation': 672, 'in-between fragmentation': 1488, 'objs in-use': 25}
13:20:18.7043 [INFO] uart5: [output] {'bytes in-use': 37392, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2686192, 'bytes requested': 152752, 'lhs fragmentation': 672, 'in-between fragmentation': 1488, 'objs in-use': 26}
13:20:18.7044 [INFO] uart5: [virt:  6.54s (+1.6ms)] {'bytes in-use': 37392, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2686192, 'bytes requested': 152752, 'lhs fragmentation': 672, 'in-between fragmentation': 1488, 'objs in-use': 26}
13:20:18.7184 [INFO] uart5: [output] {'bytes in-use': 38416, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2685168, 'bytes requested': 153776, 'lhs fragmentation': 672, 'in-between fragmentation': 1488, 'objs in-use': 27}
13:20:18.7185 [INFO] uart5: [virt:  6.55s (+1.6ms)] {'bytes in-use': 38416, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2685168, 'bytes requested': 153776, 'lhs fragmentation': 672, 'in-between fragmentation': 1488, 'objs in-use': 27}
13:20:18.7298 [INFO] uart5: [output] {'bytes in-use': 38384, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2685200, 'bytes requested': 153776, 'lhs fragmentation': 704, 'in-between fragmentation': 1488, 'objs in-use': 26}
13:20:18.7299 [INFO] uart5: [virt:  6.55s (+1.5ms)] {'bytes in-use': 38384, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2685200, 'bytes requested': 153776, 'lhs fragmentation': 704, 'in-between fragmentation': 1488, 'objs in-use': 26}
13:20:18.7448 [INFO] uart5: [output] {'bytes in-use': 38400, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2685184, 'bytes requested': 153792, 'lhs fragmentation': 704, 'in-between fragmentation': 1488, 'objs in-use': 27}
13:20:18.7449 [INFO] uart5: [virt:  6.55s (+1.6ms)] {'bytes in-use': 38400, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2685184, 'bytes requested': 153792, 'lhs fragmentation': 704, 'in-between fragmentation': 1488, 'objs in-use': 27}
13:20:18.7579 [INFO] uart5: [output] {'bytes in-use': 38912, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2684672, 'bytes requested': 154304, 'lhs fragmentation': 704, 'in-between fragmentation': 1856, 'objs in-use': 28}
13:20:18.7580 [INFO] uart5: [virt:  6.55s (+1.6ms)] {'bytes in-use': 38912, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2684672, 'bytes requested': 154304, 'lhs fragmentation': 704, 'in-between fragmentation': 1856, 'objs in-use': 28}
