13:34:45.2297 [INFO] uart5: [output] CANTRIP> [ssynthetic_random_alloc 42 1000 16 profile next_fit
13:34:45.2298 [INFO] uart5: [virt: 20.17s (+17.2ms)] CANTRIP> [ssynthetic_random_alloc 42 1000 16 profile next_fit
13:34:45.2308 [INFO] uart5: [output] Begin synthetic workload!
13:34:45.4651 [INFO] uart5: [virt:  20.21s (+1.6ms)] {'bytes in-use': 67840, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2655744, 'bytes requested': 96512, 'lhs fragmentation': 12288, 'in-between fragmentation': 14208, 'objs in-use': 25}
13:34:45.4768 [INFO] uart5: [output] {'bytes in-use': 68352, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2655232, 'bytes requested': 97024, 'lhs fragmentation': 12288, 'in-between fragmentation': 14592, 'objs in-use': 26}
13:34:45.4769 [INFO] uart5: [virt:  20.21s (+1.5ms)] {'bytes in-use': 68352, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2655232, 'bytes requested': 97024, 'lhs fragmentation': 12288, 'in-between fragmentation': 14592, 'objs in-use': 26}
13:34:45.4910 [INFO] uart5: [output] {'bytes in-use': 68368, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2655216, 'bytes requested': 97040, 'lhs fragmentation': 12288, 'in-between fragmentation': 14592, 'objs in-use': 27}
13:34:45.4912 [INFO] uart5: [virt:  20.21s (+1.6ms)] {'bytes in-use': 68368, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2655216, 'bytes requested': 97040, 'lhs fragmentation': 12288, 'in-between fragmentation': 14592, 'objs in-use': 27}
13:34:45.5048 [INFO] uart5: [output] {'bytes in-use': 68400, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2655184, 'bytes requested': 97072, 'lhs fragmentation': 12288, 'in-between fragmentation': 14608, 'objs in-use': 28}
13:34:45.5050 [INFO] uart5: [virt:  20.21s (+1.5ms)] {'bytes in-use': 68400, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2655184, 'bytes requested': 97072, 'lhs fragmentation': 12288, 'in-between fragmentation': 14608, 'objs in-use': 28}
13:34:45.5189 [INFO] uart5: [output] {'bytes in-use': 68416, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2655168, 'bytes requested': 97088, 'lhs fragmentation': 12288, 'in-between fragmentation': 14608, 'objs in-use': 29}
13:34:45.5190 [INFO] uart5: [virt:  20.21s (+1.6ms)] {'bytes in-use': 68416, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2655168, 'bytes requested': 97088, 'lhs fragmentation': 12288, 'in-between fragmentation': 14608, 'objs in-use': 29}
13:34:45.5336 [INFO] uart5: [output] {'bytes in-use': 68432, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2655152, 'bytes requested': 97104, 'lhs fragmentation': 12288, 'in-between fragmentation': 14608, 'objs in-use': 30}
