13:50:28.0329 [INFO] uart5: [output] CANTRIP> [ssynthetic_random_alloc 42 1000 48 profile next_fit
13:50:28.0330 [INFO] uart5: [virt:   26.72s (+20ms)] CANTRIP> [ssynthetic_random_alloc 42 1000 48 profile next_fit
13:50:28.0336 [INFO] uart5: [output] Begin synthetic workload!
13:50:28.2439 [INFO] uart5: [output] {'bytes in-use': 46400, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2677184, 'bytes requested': 84288, 'lhs fragmentation': 512, 'in-between fragmentation': 2240, 'objs in-use': 16}
13:50:28.2440 [INFO] uart5: [virt:  26.76s (+1.6ms)] {'bytes in-use': 46400, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2677184, 'bytes requested': 84288, 'lhs fragmentation': 512, 'in-between fragmentation': 2240, 'objs in-use': 16}
13:50:28.2538 [INFO] uart5: [output] {'bytes in-use': 46528, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2677056, 'bytes requested': 84416, 'lhs fragmentation': 512, 'in-between fragmentation': 2240, 'objs in-use': 17}
13:50:28.2539 [INFO] uart5: [virt:  26.76s (+1.6ms)] {'bytes in-use': 46528, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2677056, 'bytes requested': 84416, 'lhs fragmentation': 512, 'in-between fragmentation': 2240, 'objs in-use': 17}
13:50:28.2618 [INFO] uart5: [output] {'bytes in-use': 47040, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2676544, 'bytes requested': 84928, 'lhs fragmentation': 512, 'in-between fragmentation': 2624, 'objs in-use': 18}
13:50:28.2620 [INFO] uart5: [virt:  26.76s (+1.5ms)] {'bytes in-use': 47040, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2676544, 'bytes requested': 84928, 'lhs fragmentation': 512, 'in-between fragmentation': 2624, 'objs in-use': 18}
13:50:28.2804 [INFO] uart5: [output] {'bytes in-use': 46016, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2677568, 'bytes requested': 84928, 'lhs fragmentation': 1536, 'in-between fragmentation': 2624, 'objs in-use': 17}
13:50:28.2805 [INFO] uart5: [virt:  26.76s (+1.6ms)] {'bytes in-use': 46016, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2677568, 'bytes requested': 84928, 'lhs fragmentation': 1536, 'in-between fragmentation': 2624, 'objs in-use': 17}
13:50:28.2881 [INFO] uart5: [output] {'bytes in-use': 45504, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2678080, 'bytes requested': 84928, 'lhs fragmentation': 2048, 'in-between fragmentation': 2624, 'objs in-use': 16}
13:50:28.2882 [INFO] uart5: [virt:  26.76s (+1.6ms)] {'bytes in-use': 45504, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2678080, 'bytes requested': 84928, 'lhs fragmentation': 2048, 'in-between fragmentation': 2624, 'objs in-use': 16}
13:50:28.2993 [INFO] uart5: [output] {'bytes in-use': 41408, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2682176, 'bytes requested': 84928, 'lhs fragmentation': 6144, 'in-between fragmentation': 2624, 'objs in-use': 15}
13:50:28.2994 [INFO] uart5: [virt:  26.76s (+1.5ms)] {'bytes in-use': 41408, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2682176, 'bytes requested': 84928, 'lhs fragmentation': 6144, 'in-between fragmentation': 2624, 'objs in-use': 15}
13:50:28.3109 [INFO] uart5: [output] {'bytes in-use': 41440, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2682144, 'bytes requested': 84960, 'lhs fragmentation': 6144, 'in-between fragmentation': 2624, 'objs in-use': 16}
13:50:28.3110 [INFO] uart5: [virt:  26.76s (+1.5ms)] {'bytes in-use': 41440, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2682144, 'bytes requested': 84960, 'lhs fragmentation': 6144, 'in-between fragmentation': 2624, 'objs in-use': 16}
13:50:28.3259 [INFO] uart5: [output] {'bytes in-use': 41456, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2682128, 'bytes requested': 84976, 'lhs fragmentation': 6144, 'in-between fragmentation': 2624, 'objs in-use': 17}
13:50:28.3260 [INFO] uart5: [virt:  26.77s (+1.6ms)] {'bytes in-use': 41456, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2682128, 'bytes requested': 84976, 'lhs fragmentation': 6144, 'in-between fragmentation': 2624, 'objs in-use': 17}
13:50:28.3371 [INFO] uart5: [output] {'bytes in-use': 41488, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2682096, 'bytes requested': 85008, 'lhs fragmentation': 6144, 'in-between fragmentation': 2640, 'objs in-use': 18}
13:50:28.3371 [INFO] uart5: [virt:  26.77s (+1.5ms)] {'bytes in-use': 41488, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2682096, 'bytes requested': 85008, 'lhs fragmentation': 6144, 'in-between fragmentation': 2640, 'objs in-use': 18}
13:50:28.3499 [INFO] uart5: [output] {'bytes in-use': 42512, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2681072, 'bytes requested': 86032, 'lhs fragmentation': 6144, 'in-between fragmentation': 3568, 'objs in-use': 19}
13:50:28.3500 [INFO] uart5: [virt:  26.77s (+1.5ms)] {'bytes in-use': 42512, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2681072, 'bytes requested': 86032, 'lhs fragmentation': 6144, 'in-between fragmentation': 3568, 'objs in-use': 19}
13:50:28.3613 [INFO] uart5: [output] {'bytes in-use': 42384, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2681200, 'bytes requested': 86032, 'lhs fragmentation': 6272, 'in-between fragmentation': 3568, 'objs in-use': 18}
13:50:28.3615 [INFO] uart5: [virt:  26.77s (+1.6ms)] {'bytes in-use': 42384, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2681200, 'bytes requested': 86032, 'lhs fragmentation': 6272, 'in-between fragmentation': 3568, 'objs in-use': 18}
13:50:28.3738 [INFO] uart5: [output] {'bytes in-use': 42368, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2681216, 'bytes requested': 86032, 'lhs fragmentation': 6288, 'in-between fragmentation': 3568, 'objs in-use': 17}
13:50:28.3739 [INFO] uart5: [virt:  26.77s (+1.6ms)] {'bytes in-use': 42368, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2681216, 'bytes requested': 86032, 'lhs fragmentation': 6288, 'in-between fragmentation': 3568, 'objs in-use': 17}
13:50:28.3888 [INFO] uart5: [output] {'bytes in-use': 66944, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2656640, 'bytes requested': 110608, 'lhs fragmentation': 6288, 'in-between fragmentation': 4592, 'objs in-use': 23}
13:50:28.3889 [INFO] uart5: [virt:  26.77s (+1.6ms)] {'bytes in-use': 66944, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2656640, 'bytes requested': 110608, 'lhs fragmentation': 6288, 'in-between fragmentation': 4592, 'objs in-use': 23}
13:50:28.4039 [INFO] uart5: [output] {'bytes in-use': 66976, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2656608, 'bytes requested': 110640, 'lhs fragmentation': 6288, 'in-between fragmentation': 4592, 'objs in-use': 24}
13:50:28.4040 [INFO] uart5: [virt:  26.78s (+1.5ms)] {'bytes in-use': 66976, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2656608, 'bytes requested': 110640, 'lhs fragmentation': 6288, 'in-between fragmentation': 4592, 'objs in-use': 24}
13:50:28.4189 [INFO] uart5: [output] {'bytes in-use': 66944, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2656640, 'bytes requested': 110640, 'lhs fragmentation': 6320, 'in-between fragmentation': 4592, 'objs in-use': 23}
13:50:28.4190 [INFO] uart5: [virt:  26.78s (+1.6ms)] {'bytes in-use': 66944, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2656640, 'bytes requested': 110640, 'lhs fragmentation': 6320, 'in-between fragmentation': 4592, 'objs in-use': 23}
13:50:28.4338 [INFO] uart5: [output] {'bytes in-use': 65920, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2657664, 'bytes requested': 110640, 'lhs fragmentation': 7344, 'in-between fragmentation': 4592, 'objs in-use': 22}
13:50:28.4339 [INFO] uart5: [virt:  26.78s (+1.5ms)] {'bytes in-use': 65920, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2657664, 'bytes requested': 110640, 'lhs fragmentation': 7344, 'in-between fragmentation': 4592, 'objs in-use': 22}
13:50:28.4458 [INFO] uart5: [output] {'bytes in-use': 24960, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2698624, 'bytes requested': 110640, 'lhs fragmentation': 48304, 'in-between fragmentation': 4592, 'objs in-use': 12}
13:50:28.4459 [INFO] uart5: [virt:  26.78s (+1.8ms)] {'bytes in-use': 24960, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2698624, 'bytes requested': 110640, 'lhs fragmentation': 48304, 'in-between fragmentation': 4592, 'objs in-use': 12}
13:50:28.4610 [INFO] uart5: [output] {'bytes in-use': 24976, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2698608, 'bytes requested': 110656, 'lhs fragmentation': 48304, 'in-between fragmentation': 4592, 'objs in-use': 13}
13:50:28.4611 [INFO] uart5: [virt:  26.78s (+1.5ms)] {'bytes in-use': 24976, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2698608, 'bytes requested': 110656, 'lhs fragmentation': 48304, 'in-between fragmentation': 4592, 'objs in-use': 13}
13:50:28.4773 [INFO] uart5: [output] {'bytes in-use': 24960, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2698624, 'bytes requested': 110656, 'lhs fragmentation': 48320, 'in-between fragmentation': 4592, 'objs in-use': 12}
