10:59:00.9065 [INFO] uart5: [output] CANTRIP> [ssynthetic_random_alloc 42 1000 32 profile next_fit
10:59:00.9065 [INFO] uart5: [virt:    17.3s (+16ms)] CANTRIP> [ssynthetic_random_alloc 42 1000 32 profile next_fit
10:59:00.9076 [INFO] uart5: [output] Begin synthetic workload!
10:59:00.9077 [INFO] uart5: [virt:   17.3s (+0.1ms)] Begin synthetic workload!
10:59:01.1127 [INFO] uart5: [output] {'bytes in-use': 36256, 'bytes free': 2687328, 'bytes requested': 106528, 'lhs fragmentation': 53888, 'in-between fragmentation': 9296, 'objs in-use': 19}
10:59:01.1128 [INFO] uart5: [virt:  17.35s (+1.2ms)] {'bytes in-use': 36256, 'bytes free': 2687328, 'bytes requested': 106528, 'lhs fragmentation': 53888, 'in-between fragmentation': 9296, 'objs in-use': 19}
10:59:01.1222 [INFO] uart5: [output] {'bytes in-use': 36288, 'bytes free': 2687296, 'bytes requested': 106560, 'lhs fragmentation': 53888, 'in-between fragmentation': 9312, 'objs in-use': 20}
10:59:01.1223 [INFO] uart5: [virt:  17.35s (+1.2ms)] {'bytes in-use': 36288, 'bytes free': 2687296, 'bytes requested': 106560, 'lhs fragmentation': 53888, 'in-between fragmentation': 9312, 'objs in-use': 20}
10:59:01.1317 [INFO] uart5: [output] {'bytes in-use': 37312, 'bytes free': 2686272, 'bytes requested': 107584, 'lhs fragmentation': 53888, 'in-between fragmentation': 10176, 'objs in-use': 21}
10:59:01.1318 [INFO] uart5: [virt:  17.35s (+1.3ms)] {'bytes in-use': 37312, 'bytes free': 2686272, 'bytes requested': 107584, 'lhs fragmentation': 53888, 'in-between fragmentation': 10176, 'objs in-use': 21}
10:59:01.1377 [INFO] uart5: [output] {'bytes in-use': 16832, 'bytes free': 2706752, 'bytes requested': 107584, 'lhs fragmentation': 74368, 'in-between fragmentation': 10176, 'objs in-use': 16}
10:59:01.1378 [INFO] uart5: [virt:  17.35s (+1.3ms)] {'bytes in-use': 16832, 'bytes free': 2706752, 'bytes requested': 107584, 'lhs fragmentation': 74368, 'in-between fragmentation': 10176, 'objs in-use': 16}
10:59:01.1466 [INFO] uart5: [output] {'bytes in-use': 16848, 'bytes free': 2706736, 'bytes requested': 107600, 'lhs fragmentation': 74368, 'in-between fragmentation': 10176, 'objs in-use': 17}
10:59:01.1466 [INFO] uart5: [virt:  17.36s (+1.2ms)] {'bytes in-use': 16848, 'bytes free': 2706736, 'bytes requested': 107600, 'lhs fragmentation': 74368, 'in-between fragmentation': 10176, 'objs in-use': 17}
10:59:01.1531 [INFO] uart5: [output] {'bytes in-use': 41424, 'bytes free': 2682160, 'bytes requested': 132176, 'lhs fragmentation': 74368, 'in-between fragmentation': 11184, 'objs in-use': 23}
10:59:01.1532 [INFO] uart5: [virt:  17.36s (+1.4ms)] {'bytes in-use': 41424, 'bytes free': 2682160, 'bytes requested': 132176, 'lhs fragmentation': 74368, 'in-between fragmentation': 11184, 'objs in-use': 23}
10:59:01.1621 [INFO] uart5: [output] {'bytes in-use': 41456, 'bytes free': 2682128, 'bytes requested': 132208, 'lhs fragmentation': 74368, 'in-between fragmentation': 11184, 'objs in-use': 24}
