11:02:15.8183 [INFO] uart5: [output] CANTRIP> [ssynthetic_random_alloc 42 1000 64 profile next_fit
11:02:15.8184 [INFO] uart5: [virt:  19.77s (+9.7ms)] CANTRIP> [ssynthetic_random_alloc 42 1000 64 profile next_fit
11:02:15.8195 [INFO] uart5: [output] Begin synthetic workload!
11:02:16.0204 [INFO] uart5: [output] {'bytes in-use': 24576, 'bytes free': 2699008, 'bytes requested': 67152, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 6}
11:02:16.0205 [INFO] uart5: [virt:  19.81s (+1.4ms)] {'bytes in-use': 24576, 'bytes free': 2699008, 'bytes requested': 67152, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 6}
11:02:16.0285 [INFO] uart5: [output] {'bytes in-use': 25600, 'bytes free': 2697984, 'bytes requested': 68176, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 7}
11:02:16.0286 [INFO] uart5: [virt:  19.81s (+1.2ms)] {'bytes in-use': 25600, 'bytes free': 2697984, 'bytes requested': 68176, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 7}
11:02:16.0357 [INFO] uart5: [output] {'bytes in-use': 25616, 'bytes free': 2697968, 'bytes requested': 68192, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 8}
11:02:16.0358 [INFO] uart5: [virt:  19.81s (+1.2ms)] {'bytes in-use': 25616, 'bytes free': 2697968, 'bytes requested': 68192, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 8}
11:02:16.0452 [INFO] uart5: [output] {'bytes in-use': 1040, 'bytes free': 2722544, 'bytes requested': 68192, 'lhs fragmentation': 24576, 'in-between fragmentation': 0, 'objs in-use': 2}
11:02:16.0453 [INFO] uart5: [virt:  19.81s (+1.4ms)] {'bytes in-use': 1040, 'bytes free': 2722544, 'bytes requested': 68192, 'lhs fragmentation': 24576, 'in-between fragmentation': 0, 'objs in-use': 2}
11:02:16.0542 [INFO] uart5: [output] {'bytes in-use': 2064, 'bytes free': 2721520, 'bytes requested': 69216, 'lhs fragmentation': 24576, 'in-between fragmentation': 1008, 'objs in-use': 3}
11:02:16.0543 [INFO] uart5: [virt:  19.81s (+1.2ms)] {'bytes in-use': 2064, 'bytes free': 2721520, 'bytes requested': 69216, 'lhs fragmentation': 24576, 'in-between fragmentation': 1008, 'objs in-use': 3}
11:02:16.0630 [INFO] uart5: [output] {'bytes in-use': 2048, 'bytes free': 2721536, 'bytes requested': 69216, 'lhs fragmentation': 24592, 'in-between fragmentation': 1008, 'objs in-use': 2}
11:02:16.0631 [INFO] uart5: [virt:  19.81s (+1.3ms)] {'bytes in-use': 2048, 'bytes free': 2721536, 'bytes requested': 69216, 'lhs fragmentation': 24592, 'in-between fragmentation': 1008, 'objs in-use': 2}
11:02:16.0702 [INFO] uart5: [output] {'bytes in-use': 1024, 'bytes free': 2722560, 'bytes requested': 69216, 'lhs fragmentation': 25616, 'in-between fragmentation': 1008, 'objs in-use': 1}
11:02:16.0702 [INFO] uart5: [virt:  19.82s (+1.2ms)] {'bytes in-use': 1024, 'bytes free': 2722560, 'bytes requested': 69216, 'lhs fragmentation': 25616, 'in-between fragmentation': 1008, 'objs in-use': 1}
11:02:16.0803 [INFO] uart5: [output] {'bytes in-use': 0, 'bytes free': 2723584, 'bytes requested': 69216, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
11:02:16.0804 [INFO] uart5: [virt:  19.82s (+1.2ms)] {'bytes in-use': 0, 'bytes free': 2723584, 'bytes requested': 69216, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
11:02:16.0889 [INFO] uart5: [output] {'bytes in-use': 128, 'bytes free': 2723456, 'bytes requested': 69344, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
11:02:16.0890 [INFO] uart5: [virt:  19.82s (+1.5ms)] {'bytes in-use': 128, 'bytes free': 2723456, 'bytes requested': 69344, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
11:02:16.0993 [INFO] uart5: [output] {'bytes in-use': 0, 'bytes free': 2723584, 'bytes requested': 69344, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
11:02:16.0994 [INFO] uart5: [virt:  19.82s (+1.2ms)] {'bytes in-use': 0, 'bytes free': 2723584, 'bytes requested': 69344, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
11:02:16.1093 [INFO] uart5: [output] {'bytes in-use': 16, 'bytes free': 2723568, 'bytes requested': 69360, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
11:02:16.1093 [INFO] uart5: [virt:  19.82s (+1.2ms)] {'bytes in-use': 16, 'bytes free': 2723568, 'bytes requested': 69360, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
11:02:16.1183 [INFO] uart5: [output] {'bytes in-use': 0, 'bytes free': 2723584, 'bytes requested': 69360, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
11:02:16.1184 [INFO] uart5: [virt:  19.82s (+1.2ms)] {'bytes in-use': 0, 'bytes free': 2723584, 'bytes requested': 69360, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
11:02:16.1303 [INFO] uart5: [output] {'bytes in-use': 16, 'bytes free': 2723568, 'bytes requested': 69376, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
11:02:16.1304 [INFO] uart5: [virt:  19.82s (+1.2ms)] {'bytes in-use': 16, 'bytes free': 2723568, 'bytes requested': 69376, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
11:02:16.1411 [INFO] uart5: [output] {'bytes in-use': 0, 'bytes free': 2723584, 'bytes requested': 69376, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
11:02:16.1411 [INFO] uart5: [virt:  19.82s (+1.2ms)] {'bytes in-use': 0, 'bytes free': 2723584, 'bytes requested': 69376, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
11:02:16.1532 [INFO] uart5: [output] {'bytes in-use': 16, 'bytes free': 2723568, 'bytes requested': 69392, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
11:02:16.1533 [INFO] uart5: [virt:  19.83s (+1.2ms)] {'bytes in-use': 16, 'bytes free': 2723568, 'bytes requested': 69392, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
